Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,3.548142,3.563306,3.313116,3.411675,3.411675,231700
2005-01-04,3.305535,3.479909,3.305535,3.313116,3.313116,65000
2005-01-05,3.335860,3.479909,3.305535,3.343442,3.343442,29200
2005-01-06,3.381350,3.381350,3.282790,3.305535,3.305535,24500
2005-01-07,3.297953,3.351023,3.297953,3.343442,3.343442,18500
2005-01-10,3.479909,3.479909,3.335860,3.373768,3.373768,42700
2005-01-11,3.426838,3.434420,3.366187,3.373768,3.373768,32500
2005-01-12,3.358605,3.404094,3.282790,3.290371,3.290371,102800
2005-01-13,3.222138,3.290371,3.138741,3.161486,3.161486,65600
2005-01-14,3.153904,3.282790,3.146323,3.244883,3.244883,40600
2005-01-18,3.343442,3.343442,3.222138,3.252464,3.252464,34000
2005-01-19,3.260046,3.282790,3.153904,3.176649,3.176649,43600
2005-01-20,3.146323,3.153904,3.100834,3.153904,3.153904,32400
2005-01-21,3.161486,3.282790,3.131160,3.199394,3.199394,21800
2005-01-24,3.229719,3.229719,3.131160,3.146323,3.146323,16600
2005-01-25,3.123579,3.282790,3.123579,3.206975,3.206975,23400
2005-01-26,3.222138,3.222138,3.062927,3.100834,3.100834,68500
2005-01-27,3.191812,3.199394,3.085671,3.131160,3.131160,13700
2005-01-28,3.108415,3.297953,3.108415,3.191812,3.191812,80400
2005-01-31,3.108415,3.222138,3.108415,3.176649,3.176649,58100
2005-02-01,3.153904,3.267627,3.153904,3.267627,3.267627,21200
2005-02-02,3.343442,3.343442,3.191812,3.297953,3.297953,30400
2005-02-03,3.297953,3.373768,3.222138,3.358605,3.358605,34500
2005-02-04,3.343442,3.449583,3.320698,3.411675,3.411675,111300
2005-02-07,3.487490,3.487490,3.388931,3.449583,3.449583,114000
2005-02-08,3.563306,3.563306,3.442002,3.449583,3.449583,103400
2005-02-09,3.555724,3.555724,3.343442,3.411675,3.411675,77100
2005-02-10,3.540561,3.555724,3.442002,3.442002,3.442002,63700
2005-02-11,3.578469,3.616376,3.464746,3.525398,3.525398,189800
2005-02-14,3.593632,3.631539,3.532979,3.616376,3.616376,88500
2005-02-15,3.639121,3.639121,3.449583,3.525398,3.525398,440800
2005-02-16,3.525398,3.669446,3.487490,3.487490,3.487490,156600
2005-02-17,3.487490,3.593632,3.487490,3.510235,3.510235,90600
2005-02-18,3.525398,3.548142,3.495072,3.495072,3.495072,15300
2005-02-22,3.487490,3.563306,3.487490,3.502654,3.502654,35000
2005-02-23,3.563306,3.563306,3.411675,3.411675,3.411675,52800
2005-02-24,3.411675,3.411675,3.229719,3.260046,3.260046,200000
2005-02-25,3.260046,3.275208,3.146323,3.199394,3.199394,601400
2005-02-28,3.153904,3.260046,3.078089,3.093252,3.093252,129700
2005-03-01,3.093252,3.260046,3.093252,3.199394,3.199394,66400
2005-03-02,3.214556,3.381350,3.169067,3.381350,3.381350,101200
2005-03-03,3.381350,3.623958,3.343442,3.548142,3.548142,162300
2005-03-04,3.563306,3.563306,3.275208,3.297953,3.297953,96500
2005-03-07,3.381350,3.381350,3.297953,3.328279,3.328279,115000
2005-03-08,3.358605,3.464746,3.320698,3.358605,3.358605,162500
2005-03-09,3.222138,3.305535,3.062927,3.108415,3.108415,325600
2005-03-10,3.085671,3.115997,3.085671,3.093252,3.093252,133800
2005-03-11,3.078089,3.108415,3.078089,3.093252,3.093252,86100
2005-03-14,3.047763,3.062927,2.888552,2.956785,2.956785,194400
2005-03-15,2.979530,3.017437,2.956785,2.994693,2.994693,33300
2005-03-16,2.994693,3.032600,2.971948,2.987111,2.987111,37800
2005-03-17,2.987111,3.055345,2.956785,3.002275,3.002275,88500
2005-03-18,3.002275,3.138741,2.994693,3.138741,3.138741,122400
2005-03-21,3.047763,3.146323,3.047763,3.108415,3.108415,68000
2005-03-22,3.146323,3.146323,3.025019,3.093252,3.093252,107200
2005-03-23,3.032600,3.047763,2.994693,2.994693,2.994693,76100
2005-03-24,3.017437,3.047763,2.971948,3.025019,3.025019,54800
2005-03-28,3.100834,3.100834,2.956785,2.964367,2.964367,84400
2005-03-29,3.032600,3.032600,2.926460,2.926460,2.926460,70500
2005-03-30,2.903715,2.964367,2.888552,2.888552,2.888552,28200
2005-03-31,2.918878,2.971948,2.873389,2.949204,2.949204,72500
2005-04-01,2.956785,2.979530,2.843063,2.903715,2.903715,106000
2005-04-04,2.880970,2.918878,2.843063,2.858226,2.858226,112300
2005-04-05,2.843063,2.896133,2.827900,2.888552,2.888552,48100
2005-04-06,2.903715,2.918878,2.805156,2.843063,2.843063,412700
2005-04-07,2.820318,2.873389,2.767248,2.767248,2.767248,134600
2005-04-08,2.752085,2.782411,2.729340,2.759666,2.759666,51800
2005-04-11,2.714177,2.888552,2.699014,2.805156,2.805156,106500
2005-04-12,2.843063,2.888552,2.774829,2.888552,2.888552,41500
2005-04-13,2.911296,2.911296,2.835481,2.880970,2.880970,56400
2005-04-14,2.843063,2.858226,2.774829,2.789992,2.789992,29800
2005-04-15,2.744503,2.805156,2.744503,2.797574,2.797574,45300
2005-04-18,2.805156,2.805156,2.691433,2.691433,2.691433,72400
2005-04-19,2.691433,2.774829,2.691433,2.767248,2.767248,31200
2005-04-20,2.767248,2.805156,2.744503,2.774829,2.774829,34400
2005-04-21,2.805156,2.827900,2.691433,2.797574,2.797574,132200
2005-04-22,2.797574,2.918878,2.789992,2.820318,2.820318,182100
2005-04-25,2.888552,2.911296,2.820318,2.873389,2.873389,83000
2005-04-26,2.873389,2.918878,2.865808,2.880970,2.880970,55000
2005-04-27,2.896133,2.896133,2.865808,2.873389,2.873389,43700
2005-04-28,2.888552,2.918878,2.843063,2.858226,2.858226,57500
2005-04-29,2.873389,2.918878,2.843063,2.843063,2.843063,73900
2005-05-02,2.873389,2.918878,2.850644,2.873389,2.873389,31200
2005-05-03,2.896133,2.911296,2.850644,2.896133,2.896133,42800
2005-05-04,2.888552,2.911296,2.873389,2.888552,2.888552,16600
2005-05-05,2.896133,2.949204,2.858226,2.941622,2.941622,53000
2005-05-06,2.918878,2.918878,2.403336,2.668688,2.668688,344300
2005-05-09,2.653525,2.721759,2.608036,2.653525,2.653525,54000
2005-05-10,2.653525,2.653525,2.547385,2.577710,2.577710,85200
2005-05-11,2.577710,2.683851,2.517058,2.615618,2.615618,103900
2005-05-12,2.577710,2.638362,2.562547,2.608036,2.608036,70400
2005-05-13,2.600455,2.600455,2.532221,2.562547,2.562547,32500
2005-05-16,2.501895,2.539803,2.380591,2.388173,2.388173,110700
2005-05-17,2.357847,2.373010,2.183472,2.259287,2.259287,345800
2005-05-18,2.122820,2.350265,2.122820,2.304776,2.304776,176400
2005-05-19,2.251706,2.312358,2.198635,2.251706,2.251706,77900
2005-05-20,2.228961,2.312358,2.228961,2.312358,2.312358,365600
2005-05-23,2.312358,2.350265,2.282032,2.304776,2.304776,144400
2005-05-24,2.319939,2.327521,2.251706,2.289613,2.289613,71000
2005-05-25,2.274450,2.289613,2.244124,2.259287,2.259287,132400
2005-05-26,2.266869,2.289613,2.251706,2.274450,2.274450,81700
2005-05-27,2.259287,2.312358,2.259287,2.282032,2.282032,125400
2005-05-31,2.297195,2.501895,2.289613,2.441243,2.441243,153200
2005-06-01,2.479151,2.509477,2.418499,2.501895,2.501895,109200
2005-06-02,2.524640,2.547385,2.486732,2.539803,2.539803,106100
2005-06-03,2.479151,2.532221,2.448825,2.501895,2.501895,48600
2005-06-06,2.463988,2.638362,2.463988,2.592873,2.592873,58200
2005-06-07,2.577710,2.623199,2.494314,2.577710,2.577710,84100
2005-06-08,2.524640,2.623199,2.524640,2.615618,2.615618,31900
2005-06-09,2.592873,2.645944,2.592873,2.623199,2.623199,48400
2005-06-10,2.623199,2.638362,2.577710,2.600455,2.600455,46000
2005-06-13,2.577710,2.683851,2.577710,2.585292,2.585292,81300
2005-06-14,2.600455,2.615618,2.547385,2.547385,2.547385,39100
2005-06-15,2.539803,2.547385,2.395754,2.433662,2.433662,72400
2005-06-16,2.388173,2.524640,2.388173,2.463988,2.463988,36400
2005-06-17,2.426080,2.501895,2.426080,2.486732,2.486732,47600
2005-06-20,2.433662,2.532221,2.426080,2.494314,2.494314,36600
2005-06-21,2.532221,2.539803,2.479151,2.479151,2.479151,30900
2005-06-22,2.532221,2.539803,2.471569,2.532221,2.532221,33500
2005-06-23,2.532221,2.547385,2.486732,2.501895,2.501895,17900
2005-06-24,2.471569,2.486732,2.388173,2.441243,2.441243,125900
2005-06-27,2.373010,2.463988,2.327521,2.418499,2.418499,100500
2005-06-28,2.433662,2.433662,2.388173,2.388173,2.388173,192000
2005-06-29,2.365428,2.380591,2.335102,2.335102,2.335102,68900
2005-06-30,2.312358,2.380591,2.312358,2.380591,2.380591,92700
2005-07-01,2.342684,2.410917,2.342684,2.410917,2.410917,29900
2005-07-05,2.426080,2.426080,2.365428,2.410917,2.410917,149500
2005-07-06,2.441243,2.441243,2.388173,2.388173,2.388173,39100
2005-07-07,2.418499,2.426080,2.395754,2.418499,2.418499,34000
2005-07-08,2.426080,2.456406,2.426080,2.448825,2.448825,98900
2005-07-11,2.448825,2.486732,2.441243,2.471569,2.471569,87100
2005-07-12,2.471569,2.524640,2.471569,2.486732,2.486732,54300
2005-07-13,2.539803,2.592873,2.524640,2.547385,2.547385,48600
2005-07-14,2.577710,2.623199,2.570129,2.608036,2.608036,73000
2005-07-15,2.615618,2.615618,2.570129,2.577710,2.577710,108600
2005-07-18,2.577710,2.615618,2.517058,2.539803,2.539803,73000
2005-07-19,2.592873,2.592873,2.509477,2.524640,2.524640,58500
2005-07-20,2.494314,2.532221,2.463988,2.524640,2.524640,54000
2005-07-21,2.494314,2.524640,2.486732,2.494314,2.494314,38100
2005-07-22,2.501895,2.501895,2.479151,2.486732,2.486732,62600
2005-07-25,2.486732,2.494314,2.463988,2.479151,2.479151,15400
2005-07-26,2.479151,2.494314,2.456406,2.471569,2.471569,114400
2005-07-27,2.501895,2.501895,2.463988,2.471569,2.471569,202400
2005-07-28,2.426080,2.463988,2.213798,2.418499,2.418499,457900
2005-07-29,2.426080,2.570129,2.319939,2.463988,2.463988,96400
2005-08-01,2.539803,2.645944,2.539803,2.600455,2.600455,86100
2005-08-02,2.623199,2.653525,2.585292,2.592873,2.592873,137500
2005-08-03,2.562547,2.653525,2.562547,2.638362,2.638362,37100
2005-08-04,2.653525,2.714177,2.615618,2.623199,2.623199,39800
2005-08-05,2.623199,2.623199,2.547385,2.615618,2.615618,66000
2005-08-08,2.570129,2.570129,2.471569,2.486732,2.486732,86600
2005-08-09,2.304776,2.486732,2.289613,2.342684,2.342684,150800
2005-08-10,2.335102,2.380591,2.312358,2.380591,2.380591,34400
2005-08-11,2.418499,2.554966,2.327521,2.433662,2.433662,76600
2005-08-12,2.388173,2.403336,2.297195,2.357847,2.357847,64800
2005-08-15,2.312358,2.388173,2.312358,2.335102,2.335102,54400
2005-08-16,2.335102,2.350265,2.319939,2.350265,2.350265,27500
2005-08-17,2.441243,2.463988,2.342684,2.350265,2.350265,44900
2005-08-18,2.342684,2.380591,2.319939,2.350265,2.350265,17500
2005-08-19,2.342684,2.350265,2.312358,2.335102,2.335102,43700
2005-08-22,2.373010,2.373010,2.312358,2.335102,2.335102,38700
2005-08-23,2.342684,2.342684,2.259287,2.274450,2.274450,67500
2005-08-24,2.266869,2.297195,2.259287,2.259287,2.259287,23300
2005-08-25,2.236543,2.266869,2.160728,2.198635,2.198635,110700
2005-08-26,2.168309,2.206217,2.160728,2.168309,2.168309,73000
2005-08-29,2.168309,2.228961,2.168309,2.206217,2.206217,13700
2005-08-30,2.213798,2.244124,2.160728,2.175891,2.175891,91600
2005-08-31,2.198635,2.244124,2.183472,2.206217,2.206217,75700
2005-09-01,2.221380,2.259287,2.213798,2.244124,2.244124,47200
2005-09-02,2.198635,2.274450,2.198635,2.266869,2.266869,40800
2005-09-06,2.274450,2.327521,2.259287,2.259287,2.259287,55900
2005-09-07,2.304776,2.319939,2.251706,2.251706,2.251706,25800
2005-09-08,2.244124,2.259287,2.198635,2.198635,2.198635,186100
2005-09-09,2.168309,2.236543,2.160728,2.206217,2.206217,18700
2005-09-12,2.206217,2.266869,2.206217,2.251706,2.251706,30000
2005-09-13,2.183472,2.244124,2.016679,2.137983,2.137983,199400
2005-09-14,2.145565,2.168309,2.092494,2.145565,2.145565,69200
2005-09-15,2.107657,2.122820,2.092494,2.122820,2.122820,41900
2005-09-16,2.160728,2.160728,2.107657,2.115239,2.115239,75700
2005-09-19,2.115239,2.115239,2.092494,2.100076,2.100076,43500
2005-09-20,2.100076,2.153146,2.084913,2.153146,2.153146,19500
2005-09-21,2.137983,2.137983,2.092494,2.130402,2.130402,54200
2005-09-22,2.100076,2.228961,2.100076,2.206217,2.206217,346600
2005-09-23,2.160728,2.206217,2.153146,2.191054,2.191054,22500
2005-09-26,2.160728,2.221380,2.130402,2.198635,2.198635,21800
2005-09-27,2.168309,2.244124,2.137983,2.244124,2.244124,63000
2005-09-28,2.213798,2.350265,2.213798,2.274450,2.274450,64100
2005-09-29,2.297195,2.304776,2.274450,2.289613,2.289613,59000
2005-09-30,2.274450,2.357847,2.274450,2.312358,2.312358,56900
2005-10-03,2.342684,2.373010,2.312358,2.319939,2.319939,330800
2005-10-04,2.319939,2.335102,2.304776,2.335102,2.335102,130500
2005-10-05,2.282032,2.350265,2.282032,2.319939,2.319939,280400
2005-10-06,2.312358,2.350265,2.289613,2.304776,2.304776,481600
2005-10-07,2.274450,2.388173,2.274450,2.304776,2.304776,141100
2005-10-10,2.304776,2.312358,2.297195,2.312358,2.312358,81100
2005-10-11,2.312358,2.350265,2.282032,2.304776,2.304776,53400
