Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.910000,4.980000,4.910000,4.970000,4.970000,3130300
2010-01-05,4.970000,4.990000,4.950000,4.990000,4.990000,3375500
2010-01-06,5.130000,5.160000,5.100000,5.140000,5.140000,2912600
2010-01-07,5.140000,5.180000,5.110000,5.180000,5.180000,1875200
2010-01-08,5.140000,5.210000,5.140000,5.200000,5.200000,1971100
2010-01-11,5.210000,5.300000,5.190000,5.190000,5.190000,2760700
2010-01-12,5.300000,5.330000,5.270000,5.290000,5.290000,2031800
2010-01-13,5.270000,5.360000,5.220000,5.300000,5.300000,3140900
2010-01-14,5.330000,5.450000,5.330000,5.420000,5.420000,3419500
2010-01-15,5.450000,5.540000,5.450000,5.500000,5.500000,2813500
2010-01-19,5.400000,5.430000,5.360000,5.410000,5.410000,2603000
2010-01-20,5.340000,5.340000,5.190000,5.190000,5.190000,2021600
2010-01-21,5.330000,5.360000,5.260000,5.320000,5.320000,4325500
2010-01-22,5.440000,5.470000,5.350000,5.380000,5.380000,4513600
2010-01-25,5.340000,5.450000,5.340000,5.420000,5.420000,7165000
2010-01-26,5.300000,5.310000,5.180000,5.210000,5.210000,2938500
2010-01-27,5.240000,5.330000,5.210000,5.330000,5.330000,3322000
2010-01-28,5.300000,5.300000,5.130000,5.180000,5.180000,3985100
2010-01-29,5.170000,5.230000,5.120000,5.130000,5.130000,2525600
2010-02-01,5.220000,5.270000,5.190000,5.270000,5.270000,3487900
2010-02-02,5.270000,5.390000,5.250000,5.340000,5.340000,2943400
2010-02-03,5.370000,5.370000,5.200000,5.250000,5.250000,2554500
2010-02-04,5.170000,5.170000,5.010000,5.010000,5.010000,3466100
2010-02-05,5.040000,5.090000,5.000000,5.090000,5.090000,3098900
2010-02-08,5.080000,5.150000,5.050000,5.090000,5.090000,3540500
2010-02-09,5.080000,5.170000,5.080000,5.110000,5.110000,2438200
2010-02-10,5.060000,5.100000,5.000000,5.040000,5.040000,2510900
2010-02-11,5.030000,5.100000,5.010000,5.100000,5.100000,1591200
2010-02-12,5.080000,5.080000,4.970000,5.010000,5.010000,1336900
