Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.729340,2.843063,2.661107,2.774829,2.774829,82800
2010-01-05,2.767248,2.767248,2.668688,2.744503,2.744503,50300
2010-01-06,2.752085,2.752085,2.615618,2.615618,2.615618,84900
2010-01-07,2.615618,2.653525,2.577710,2.630781,2.630781,34900
2010-01-08,2.630781,2.691433,2.630781,2.645944,2.645944,44000
2010-01-11,2.661107,2.714177,2.661107,2.699014,2.699014,64700
2010-01-12,2.691433,2.744503,2.653525,2.736922,2.736922,41400
2010-01-13,2.736922,2.744503,2.706596,2.729340,2.729340,60500
2010-01-14,2.714177,2.789992,2.714177,2.782411,2.782411,37900
2010-01-15,2.789992,2.789992,2.668688,2.706596,2.706596,116200
2010-01-19,2.699014,2.789992,2.691433,2.744503,2.744503,89900
2010-01-20,2.744503,2.767248,2.691433,2.691433,2.691433,37300
2010-01-21,2.683851,2.683851,2.585292,2.592873,2.592873,93600
2010-01-22,2.600455,2.683851,2.592873,2.608036,2.608036,70600
2010-01-25,2.630781,2.661107,2.577710,2.600455,2.600455,68400
2010-01-26,2.585292,2.615618,2.577710,2.577710,2.577710,43900
2010-01-27,2.577710,2.615618,2.562547,2.592873,2.592873,47200
2010-01-28,2.600455,2.623199,2.600455,2.608036,2.608036,75000
2010-01-29,2.623199,2.638362,2.600455,2.615618,2.615618,49500
2010-02-01,2.615618,2.638362,2.577710,2.638362,2.638362,59200
2010-02-02,2.630781,2.638362,2.570129,2.570129,2.570129,70400
2010-02-03,2.570129,2.615618,2.570129,2.592873,2.592873,75900
2010-02-04,2.592873,2.615618,2.547385,2.562547,2.562547,87700
2010-02-05,2.554966,2.585292,2.532221,2.532221,2.532221,66600
2010-02-08,2.539803,2.577710,2.524640,2.554966,2.554966,48400
2010-02-09,2.577710,2.592873,2.524640,2.592873,2.592873,46500
2010-02-10,2.577710,2.592873,2.562547,2.585292,2.585292,37900
2010-02-11,2.577710,2.615618,2.524640,2.600455,2.600455,46100
2010-02-12,2.592873,2.592873,2.501895,2.585292,2.585292,94000
2010-02-16,2.608036,2.615618,2.524640,2.615618,2.615618,118900
2010-02-17,2.630781,2.630781,2.554966,2.592873,2.592873,92700
2010-02-18,2.570129,2.623199,2.562547,2.623199,2.623199,70800
2010-02-19,2.623199,2.623199,2.539803,2.592873,2.592873,67500
2010-02-22,2.592873,2.645944,2.577710,2.600455,2.600455,131300
2010-02-23,2.608036,2.668688,2.547385,2.608036,2.608036,253100
2010-02-24,2.608036,2.630781,2.501895,2.517058,2.517058,231200
2010-02-25,2.501895,2.570129,2.441243,2.463988,2.463988,189900
2010-02-26,2.653525,2.759666,2.623199,2.645944,2.645944,250300
2010-03-01,2.661107,2.752085,2.600455,2.752085,2.752085,146000
2010-03-02,2.744503,2.820318,2.683851,2.820318,2.820318,84900
2010-03-03,2.812737,2.843063,2.714177,2.835481,2.835481,68800
2010-03-04,2.827900,2.835481,2.774829,2.835481,2.835481,26100
2010-03-05,2.835481,2.880970,2.805156,2.880970,2.880970,105600
2010-03-08,2.888552,2.903715,2.820318,2.858226,2.858226,57300
2010-03-09,2.873389,2.911296,2.843063,2.888552,2.888552,51800
2010-03-10,2.903715,2.979530,2.865808,2.949204,2.949204,76100
2010-03-11,2.934041,3.025019,2.918878,3.009856,3.009856,60800
2010-03-12,3.025019,3.032600,2.979530,3.009856,3.009856,86600
2010-03-15,3.017437,3.055345,2.926460,3.055345,3.055345,111500
